icao24_callsign,min_vertrate_spd_climb,max_vertrate_spd_climb,min_spd_climb,max_spd_climb,delta_h_climb,vertrate_std_spd_climb,vertrate_avg_spd_climb,std_spd_climb,avg_spd_climb,duration_climb,min_vertrate_spd_cruise,max_vertrate_spd_cruise,min_spd_cruise,max_spd_cruise,delta_h_cruise,vertrate_std_spd_cruise,vertrate_avg_spd_cruise,std_spd_cruise,avg_spd_cruise,duration_cruise,mean_altitude_cruise,std_altitude_cruise,min_vertrate_spd_descent,max_vertrate_spd_descent,min_spd_descent,max_spd_descent,delta_h_descent,vertrate_std_spd_descent,vertrate_avg_spd_descent,std_spd_descent,avg_spd_descent,duration_descent,operatoricao
440130_AUA1HZ,3.90144,21.1328,74.18346696032738,241.85270338317764,10949.939999999999,3.354454823873965,8.626517333333334,46.27697264785477,206.4793690755968,1260,-5.201919999999999,4.22656,237.5979538387716,252.00878310316247,-45.719999999999345,0.6906435792548411,-0.002709333333333,2.687094880530782,248.18568820816463,1250.0,11241.913,389.6763535576885,-14.305280000000002,0.325119999999999,68.40364378543353,253.3264549470564,-10904.22,4.143607166632397,-6.6548700689655185,60.05792110264496,181.69930268484325,1730,AUA
44015a_EJU65NM,0.650239999999999,23.40864,85.84435018271105,223.95396481884376,10614.66,4.527057299752772,10.095140202020202,34.29931719853559,186.50226390751794,1070,-0.650239999999999,0.650239999999999,201.95187066633582,223.4961682515578,-1150.6200000000008,0.194895275158485,-0.0016845595854920001,6.343594703946113,209.74129952842213,3730.0,11208.246395939086,224.65617496227244,-8.77824,0.0,63.80142701179039,217.93307568465988,-11231.88,1.820593286779635,-4.363766605504586,46.53522956046599,146.0360884637778,2150,EZY
44015a_EJU7456,1.300479999999999,20.482560000000007,75.63726518081488,219.14650201672,10157.460000000001,3.5729933618969962,10.0584,38.496976704710235,178.5568203760266,1010,-0.650239999999999,2.9260800000000002,200.9527840481852,219.3758358280053,38.100000000000364,0.35598985515248505,0.028949041095890003,6.525416406634876,210.216133844933,1490.0,10363.147808219177,7.13117541147141,-20.482560000000007,0.650239999999999,65.84280308338047,207.8054495038376,-10294.619999999999,4.530706652500155,-7.379522302158273,51.18929872343308,142.31862060031125,1610,EZY
44015a_EJU93FR,0.0,16.581120000000002,55.8473923685588,215.97153197140202,9166.86,3.68739765647344,10.231717647058824,41.30345871238746,180.0876999611312,890,-0.325119999999999,0.325119999999999,211.76417247483002,255.04180674753326,0.0,0.17479884250903302,0.030103703703703,17.31571001882528,232.46125416467723,2270.0,9143.894166666667,4.558936764050059,-21.1328,0.9753600000000001,69.6193094622225,251.07080898301842,-8892.54,4.646155910163126,-7.426871652173914,53.24189464830412,168.954622973239,1250,EZY
440170_EJU41AP,0.0,21.78304,74.11208177543351,244.5866095990533,11574.779999999999,3.778167632662506,9.74496849557522,48.036488460413764,194.21522191026898,1180,-1.300479999999999,1.300479999999999,224.63007428007003,247.12221294537528,2453.6399999999994,0.30139853295150604,-0.012088610567514,5.543624646197731,235.54266011420196,7000.0,11519.812427184463,266.0368210189551,-23.73376,0.0,65.6334582697474,232.81191497067127,-11391.9,4.349909222221785,-7.863693812949641,52.894081621148835,158.26011828451036,2150,EZY
4401c3_EJU1060,-0.650239999999999,19.5072,77.61969532458265,237.72267425993988,10431.779999999999,3.921117485609054,8.46145641025641,42.09651488252023,200.49820061366455,1730,-3.57632,1.95072,224.9114808714681,239.05488107801497,609.6000000000004,0.38169946196861104,0.021869058295964,3.992245900689396,234.43435658387088,2810.0,10606.185739910314,469.43932654161154,-13.98016,0.0,156.5972944074761,238.51845300148213,-7924.799999999997,3.3866515315967503,-7.521526153846154,25.663475771789408,200.6658897924607,1880,EZY
440213_RYR4JD,1.6256,24.70912,81.96466916066557,254.1040925409993,11422.380000000001,4.642223952203294,10.22321777777778,43.92628342603673,207.95720624526422,1130,-2.600959999999999,0.650239999999999,233.57400590228508,250.89102131573367,-7.619999999998981,0.22340021209216301,-0.01927935309973,3.9127178145480803,242.9568218055756,3890.0,11565.578490566035,578.2558752867639,-16.90624,1.300479999999999,54.131635018663474,244.34357074553373,-11254.74,3.783485109533179,-7.520070136986302,60.41200611733661,170.32290235724687,1790,LDM
4402f1_EJU43MF,-0.325119999999999,21.1328,76.06120215269387,216.92951226592118,10896.6,4.297384145987108,8.699009075630252,39.06797682512344,185.36099255445464,1250,-1.95072,0.325119999999999,209.2623885938136,219.47232574039413,-7.619999999998981,0.267483888797241,-0.016566624203821,3.029239341744902,214.63278779809207,1610.0,11256.875541401274,270.1662547072774,-28.935679999999998,2.27584,67.2978487204782,216.31131461679212,7.619999999998981,6.078841861294856,-7.9847653146853155,55.004789042401825,141.4110165398631,1710,EJU
44031c_RYR24RT,0.9753600000000001,26.33472,77.31222173134441,214.72968974641225,11262.36,4.666663646946494,11.114411546391752,39.341413007371784,181.88890979974988,1010,-0.650239999999999,0.9753600000000001,209.72412439175102,224.17601956193943,0.0,0.210365469201508,-0.012925259938837001,2.833190386280869,216.43317999597826,3460.0,11887.642752293577,5.66052814715292,-28.28544,0.650239999999999,59.11407036494564,238.00305624588532,-11902.44,7.232908831397341,-9.959231452991451,59.25508453306365,167.38868702606385,1310,LDM
44031c_RYR93FX,0.325119999999999,23.40864,69.77120079465153,250.78287578676307,3657.5999999999967,3.9811364672039513,10.237962448979593,53.15231391791395,199.75027172405245,1610,-4.22656,3.2512,215.4593179158093,252.76534672494168,-1805.9400000000005,0.39299992695707103,-0.01926637037037,9.73150980821523,242.53440838040973,3170.0,11201.79511111111,1306.7079335779815,-15.930879999999998,0.325119999999999,50.17345720938145,240.81474769373418,-11170.92,2.747006161912347,-6.00062520231214,53.17345247135625,176.81429826377524,2210,LDM
44032a_RYR402Y,0.0,21.78304,73.37818299584639,240.0227230356954,11155.679999999998,4.648071133704284,10.520630679611651,47.162357736842715,187.62045184466493,1060,-0.9753600000000001,0.9753600000000001,215.77844434488003,229.7469120968321,-609.6000000000004,0.253116759846355,-0.006836635514018001,2.9824618741178393,222.85550048826755,4670.0,11218.509392523363,182.31298975100106,-19.832320000000006,0.650239999999999,60.967582994695796,229.5717517874797,-11193.779999999999,4.857383403634957,-7.500337777777779,52.500917154951466,172.07971224577534,2030,LDM
440469_EJU17TC,1.300479999999999,20.807679999999998,83.30975452545519,232.05017245097469,11391.900000000001,3.5349024669858062,7.672374084507043,38.035152885894476,194.33598582957652,1490,-0.9753600000000001,0.650239999999999,195.625406014464,225.29182071004655,-6301.740000000002,0.21327034983091703,-0.008787027027027002,7.552894713513944,205.55752617997643,6040.0,11643.967391304348,1059.1680118129987,-8.77824,0.0,65.57899986626816,207.1395845768597,-11437.62,1.422912975237266,-4.797640347826088,41.375275924473456,167.66077007770366,2750,EZY
4409c0_EJU34HG,3.57632,18.20672,76.70910347677011,231.83394744533115,11452.86,3.4140520692343,8.674308196721313,41.68647740934941,194.93285317455906,1310,-2.600959999999999,0.9753600000000001,226.60075707059482,259.525653471586,-22.860000000000582,0.268717114046342,-0.016977545691906,10.317479937640536,247.1631811090763,4060.0,11582.499477806785,6.175948598220037,-20.15744,0.325119999999999,71.81977263860308,263.26366977498805,-11148.06,4.196412989705187,-6.513359101123595,70.41637841563846,170.17383674710138,1850,EZY
44ce61_BEL1ZT,-0.650239999999999,23.08352,68.30491343262608,259.8313999256736,11681.46,4.908432988067423,9.951627636363638,59.10053911557163,208.79549969746364,1190,-5.201919999999999,0.650239999999999,254.01346477817881,258.8246447888029,-60.960000000000946,0.534736263192365,-0.102255483870967,0.8619237600502271,257.02366230792364,1310.0,11797.173387096776,1012.8779883943574,-20.482560000000007,-1.6256,59.042395200223645,263.4937773981356,-11750.04,5.158661943092812,-8.051113513513513,74.96497352303149,173.21760658596867,1850,DAT
44ce61_BEL23Z,0.9753600000000001,23.08352,71.09199152232405,220.6005215273908,11269.98,4.622243061480478,10.327877383177567,38.99778750332332,185.41358459989019,1100,-4.8768,1.95072,214.0142688266879,221.71104027051342,10591.8,0.552524447733993,-0.008968827586206,1.6166263506714622,218.5012782696267,1790.0,11298.568137931034,1070.8564883553531,-23.40864,0.650239999999999,61.84036295992448,229.85056252111718,-11544.300000000001,5.169256898436099,-7.860937142857144,50.62192890510935,180.03618168347816,1720,DAT
44ce6a_BEL7LY,0.0,20.807679999999998,76.48624952925383,223.239060162158,9296.4,4.4660404635819955,9.925502528735631,49.578459853402975,183.13594085337348,1000,-0.650239999999999,0.9753600000000001,220.7851967590461,249.09397604304928,624.8400000000001,0.28841515729807504,0.10926163934426202,9.356681111922462,235.8429376958306,1430.0,9426.31475409836,156.59268916372108,-20.807679999999998,0.325119999999999,67.16203846663667,248.55312747399475,-2667.000000000001,4.089696054361244,-6.365507368421053,62.01707469147678,153.3598232788247,1700,DAT
44ce6e_BEL4VT,0.0,19.832320000000006,81.80306673776822,224.21084329655883,10454.64,4.398885971872532,9.932097254901961,39.80162341390251,194.23875535570383,1070,-0.325119999999999,2.600959999999999,208.887070616902,221.009836531899,7.619999999998981,0.256080982110705,0.040014769230769,3.289784280900654,214.68138335678668,1370.0,11230.47323076923,457.1042818109959,-17.881600000000006,0.0,67.50203193856102,237.65865186217567,-10919.46,3.6120585401895813,-7.336798881118882,50.280915791697375,183.62475791201445,1550,DAT
44ce6e_BEL58M,0.0,19.182080000000006,77.9327478409562,242.21736815799363,10980.42,4.565198061689289,9.662444859813085,49.881168933750175,189.53934416165498,1790,-0.9753600000000001,3.90144,219.78562540131782,248.7580118093109,2004.0600000000013,0.47598623192407,0.034085161290322005,10.248026971331619,237.745216865313,2750.0,10984.177808219178,677.6742204562786,-17.881600000000006,0.650239999999999,62.890647495772534,277.93786341286255,-11445.24,3.789904603067109,-7.623828405797102,70.13259284718669,179.392726265107,1490,DAT
44ce6f_BEL3RW,0.325119999999999,24.70912,80.50350043496475,228.18360645808158,11292.84,4.436362135744664,8.068671532846716,38.97588833446244,199.38016774540327,1730,-1.300479999999999,0.9753600000000001,213.1220483090992,233.1833411111652,1242.0599999999995,0.432211437968861,0.06656000000000001,4.546752554156328,225.53394312250632,1910.0,11264.220000000001,1159.8143811095688,-25.684479999999997,0.325119999999999,67.59801990193334,233.04029288778315,-11750.04,4.527855649456217,-5.709536603773584,62.16097509559771,162.13035922719095,2560,DAT
44ce6f_BEL42B,3.2512,22.10816,80.67426761807332,245.6576487947516,11056.62,4.478595809133093,10.022047706422013,44.23572696866456,201.5084927499445,1130,-3.90144,3.2512,227.53608631320444,252.13529710208888,-609.6000000000004,0.593241215981255,-0.10344727272727201,7.62360991260809,241.0650949155971,1790.0,11053.007922077923,498.78375224161954,-19.5072,2.9260800000000002,65.88097690403809,252.68837838036208,-11445.24,3.736103816978763,-6.415829585798817,59.596413238105704,184.86260431320585,3110,DAT
44ce72_BEL7MR,-0.325119999999999,22.43328,78.73682643789246,246.4959915702253,10584.18,4.863476011830378,8.923066181818182,45.90523912623431,189.42197313551674,2270,-0.9753600000000001,0.9753600000000001,214.67606964879815,245.8272686044886,601.9799999999996,0.280804099188659,-0.009973006134969,7.202658845346026,236.00650441084213,1910.0,10291.347607361962,296.5412613782364,-14.305280000000002,0.325119999999999,62.95794172755231,264.16436416120376,-10347.960000000001,2.851306766933246,-5.659292203389831,60.95655036097513,184.74405251901766,1850,DAT
