,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,time_s,phase,color
871,0 days 02:25:30.000000000,4bb859,41.70428466796875,26.83872569691051,231.98686620732,129.6916954737269,-5.2019199999999985,PGT13K  ,False,False,False,6434.0,11170.92,11582.4,1602469539.796,1602469539.969,8730.0,DE,3
872,0 days 02:25:40.000000000,4bb859,41.691009521484375,26.8600117076527,232.71128944886624,129.7082672862698,-4.8768,PGT13K  ,False,False,False,6434.0,11125.2,11536.68,1602469549.785,1602469549.956,8740.0,DE,3
873,0 days 02:25:50.000000000,4bb859,41.68080139160156,26.876428777521305,232.71128944886624,129.7082672862698,-4.55168,PGT13K  ,False,False,False,6434.0,11071.86,11490.96,1602469557.304,1602469559.842,8750.0,DE,3
874,0 days 02:26:00.000000000,4bb859,41.67030463784428,26.8933176439862,234.1601937926804,129.74110329442115,-4.55168,PGT13K  ,False,False,False,6434.0,11026.14,11437.62,1602469565.187,1602469569.995,8760.0,DE,3
875,0 days 02:26:10.000000000,4bb859,41.65159063824152,26.923338424327763,234.1601937926804,129.74110329442115,-4.8768,PGT13K  ,False,False,False,6434.0,10988.04,11399.52,1602469579.181,1602469579.633,8770.0,DE,3
876,0 days 02:26:20.000000000,4bb859,41.637542724609375,26.94577997381037,234.1601937926804,129.74110329442115,-4.8768,PGT13K  ,False,False,False,6434.0,10934.7,11346.18,1602469589.685,1602469589.812,8780.0,DE,3
877,0 days 02:26:30.000000000,4bb859,41.62367248535156,26.968002319335927,233.76484801881475,129.82171529570186,-4.8768,PGT13K  ,False,False,False,6434.0,10888.98,11300.46,1602469599.959,1602469599.9929998,8790.0,DE,3
878,0 days 02:26:40.000000000,4bb859,41.61039733886719,26.989225907759234,233.04029288778315,129.8055710922652,-4.55168,PGT13K  ,False,False,False,6434.0,10835.64,11254.74,1602469609.835,1602469609.835,8800.0,DE,3
879,0 days 02:26:50.000000000,4bb859,41.59745038565943,27.01001544331396,232.71128944886624,129.7082672862698,-4.55168,PGT13K  ,False,False,False,6434.0,10797.54,11209.02,1602469619.551,1602469619.92,8810.0,DE,3
880,0 days 02:27:00.000000000,4bb859,41.58371747550318,27.03198809956396,232.31575637417384,129.78932618782008,-4.8768,PGT13K  ,False,False,False,6434.0,10744.2,11163.3,1602469629.8760002,1602469629.8760002,8820.0,DE,3
881,0 days 02:27:10.000000000,4bb859,41.57035698324947,27.05332201580669,233.04029288778315,129.8055710922652,-4.8768,PGT13K  ,False,False,False,6434.0,10698.48,11117.58,1602469639.799,1602469639.799,8830.0,DE,3
882,0 days 02:27:20.000000000,4bb859,41.556949938757946,27.07459205804869,233.18617848172667,130.43677024576215,-4.8768,PGT13K  ,False,False,False,6434.0,10645.14,11056.62,1602469649.63,1602469649.905,8840.0,DE,3
883,0 days 02:27:30.000000000,4bb859,41.5463825807733,27.09011344022529,232.8391957521534,134.10482628978895,-5.2019199999999985,PGT13K  ,False,False,False,6434.0,10614.66,11026.14,1602469657.467,1602469659.796,8850.0,DE,3
884,0 days 02:27:40.000000000,4bb859,41.527679443359375,27.11544383655895,233.18163867225613,134.55308410683205,-5.2019199999999985,PGT13K  ,False,False,False,6434.0,10546.08,10965.18,1602469669.967,1602469669.967,8860.0,DE,3
885,0 days 02:27:50.000000000,4bb859,41.51275634765625,27.135731090198863,234.64342950009498,134.37820974962298,-10.40384,PGT13K  ,False,False,False,6434.0,10462.26,10904.22,1602469679.9910002,1602469679.9910002,8870.0,DE,3
886,0 days 02:28:00.000000000,4bb859,41.499178611626064,27.154179062954217,235.7388760397695,134.29268063145574,-15.930879999999998,PGT13K  ,False,False,False,6434.0,10332.72,10751.820000000003,1602469689.373,1602469689.8520002,8880.0,DE,3
887,0 days 02:28:10.000000000,4bb859,41.48579406738281,27.17249783602628,236.1073790753609,134.20550236632926,-14.630400000000002,PGT13K  ,False,False,False,6434.0,10195.56,10607.04,1602469698.428,1602469699.937,8890.0,DE,3
888,0 days 02:28:20.000000000,4bb859,41.46913146972656,27.195281982421875,236.1073790753609,134.20550236632926,-14.630400000000002,PGT13K  ,False,False,False,6434.0,10035.54,10447.02,1602469709.666,1602469709.8660002,8900.0,DE,3
889,0 days 02:28:30.000000000,4bb859,41.45439535884535,27.21549810365189,236.47642702061611,134.11859600341788,-13.0048,PGT13K  ,False,False,False,6434.0,9890.76,10302.24,1602469719.5370002,1602469719.974,8910.0,DE,3
890,0 days 02:28:40.000000000,4bb859,41.44056934421345,27.234404807867012,235.37991555456875,134.20304673937534,-10.40384,PGT13K  ,False,False,False,6434.0,9776.46,10180.32,1602469728.885,1602469729.802,8920.0,DE,3
891,0 days 02:28:50.000000000,4bb859,41.424407958984375,27.25645585493608,233.92498982217572,134.19808966621218,-11.05408,PGT13K  ,False,False,False,6434.0,9669.78,10081.26,1602469739.9970002,1602469739.9970002,8930.0,DE,3
892,0 days 02:29:00.000000000,4bb859,41.40980529785156,27.27643099698153,232.82896583368907,134.28384005452958,-11.05408,PGT13K  ,False,False,False,6434.0,9555.48,9974.58,1602469749.919,1602469749.921,8940.0,DE,3
893,0 days 02:29:10.000000000,4bb859,41.39532056905456,27.29610709256904,231.37401284852643,134.27933637748234,-11.05408,PGT13K  ,False,False,False,6434.0,9441.18,9860.28,1602469759.853,1602469759.955,8950.0,DE,3
894,0 days 02:29:20.000000000,4bb859,41.38096618652344,27.315673828125,229.91906131102127,134.27477570094078,-10.72896,PGT13K  ,False,False,False,6434.0,9334.5,9738.36,1602469769.8520002,1602469769.8520002,8960.0,DE,3
895,0 days 02:29:30.000000000,4bb859,41.367668539790785,27.33373468572443,228.83276394231248,134.18024351468458,-11.05408,PGT13K  ,False,False,False,6434.0,9235.44,9631.68,1602469779.0470002,1602469779.633,8970.0,DE,3
896,0 days 02:29:40.000000000,4bb859,41.35295104980469,27.35382080078125,227.73663677981617,134.2678254224362,-10.72896,PGT13K  ,False,False,False,6434.0,9121.14,9517.38,1602469789.305,1602469789.894,8980.0,DE,3
897,0 days 02:29:50.000000000,4bb859,41.33834838867188,27.3736572265625,226.2816889840149,134.26311742178834,-10.72896,PGT13K  ,False,False,False,6434.0,9014.46,9403.080000000002,1602469799.6260002,1602469799.696,8990.0,DE,3
898,0 days 02:30:00.000000000,4bb859,41.323676675052965,27.393597689541906,225.18607196184064,134.35209473161848,-10.72896,PGT13K  ,False,False,False,6434.0,8900.16,9296.4,1602469809.883,1602469809.957,9000.0,DE,3
899,0 days 02:30:10.000000000,4bb859,41.309967041015625,27.41217041015625,223.73109823378516,134.347881076354,-10.72896,PGT13K  ,False,False,False,6434.0,8801.1,9189.72,1602469819.706,1602469819.822,9010.0,DE,3
900,0 days 02:30:20.000000000,4bb859,41.296583272643005,27.430302013050426,222.63600542338486,134.4382946674335,-10.72896,PGT13K  ,False,False,False,6434.0,8694.42,9083.04,1602469829.101,1602469829.755,9020.0,DE,3
901,0 days 02:30:30.000000000,4bb859,41.281826213254774,27.45027715509588,221.54863994777364,134.34145682243638,-10.40384,PGT13K  ,False,False,False,6434.0,8587.74,8968.74,1602469839.75,1602469839.75,9030.0,DE,3
902,0 days 02:30:40.000000000,4bb859,41.26785278320313,27.46917724609375,220.09366933005143,134.337103205218,-10.40384,PGT13K  ,False,False,False,6434.0,8481.060000000001,8854.44,1602469849.7429998,1602469849.8479998,9040.0,DE,3
903,0 days 02:30:50.000000000,4bb859,41.25425720214844,27.48760986328125,219.017849355157,134.0483303918214,-10.40384,PGT13K  ,False,False,False,6434.0,8374.380000000001,8747.76,1602469859.6079998,1602469859.7410002,9050.0,DE,3
904,0 days 02:31:00.000000000,4bb859,41.24176025390625,27.50701904296875,219.879528249434,127.29887066549117,-10.40384,PGT13K  ,False,False,False,6434.0,8275.32,8648.699999999999,1602469869.5670002,1602469869.736,9060.0,DE,3
905,0 days 02:31:10.000000000,4bb859,41.231037721795545,27.52942865545099,221.5056316968272,118.88658176691072,-9.10336,PGT13K  ,False,False,False,6434.0,8168.64,8534.4,1602469879.6139998,1602469879.6139998,9070.0,DE,3
906,0 days 02:31:20.000000000,4bb859,41.222704871226156,27.55439758300781,223.5488566446309,112.31558857587076,-9.10336,PGT13K  ,False,False,False,6434.0,8077.200000000003,8488.68,1602469889.8820002,1602469889.8820002,9080.0,DE,3
907,0 days 02:31:30.000000000,4bb859,41.21576858779132,27.57905439897017,224.28932442590562,110.26380082493168,-6.5024000000000015,PGT13K  ,False,False,False,6434.0,7985.76,8351.52,1602469899.7429998,1602469899.7429998,9090.0,DE,3
908,0 days 02:31:40.000000000,4bb859,41.21092715505826,27.596345381303266,223.6843686071825,110.60231367212069,-2.60096,PGT13K  ,False,False,False,6434.0,7955.2800000000025,8313.42,1602469906.698,1602469909.766,9100.0,DE,3
909,0 days 02:31:50.000000000,4bb859,41.20225524902344,27.62689208984375,224.04848309850632,110.8486037656115,-0.6502399999999999,PGT13K  ,False,False,False,6434.0,7924.8,8282.94,1602469918.889,1602469919.544,9110.0,DE,3
910,0 days 02:32:00.000000000,4bb859,41.19509939420021,27.651651555841607,224.2320890202893,110.97144772796574,0.0,PGT13K  ,False,False,False,6434.0,7924.8,8282.94,1602469928.771,1602469929.647,9120.0,LVL,4
911,0 days 02:32:10.000000000,4bb859,41.18755793167373,27.677494395862926,224.60238555612088,111.21653030979124,0.0,PGT13K  ,False,False,False,6434.0,7924.8,8282.94,1602469939.147,1602469939.583,9130.0,LVL,4
912,0 days 02:32:20.000000000,4bb859,41.18020267809853,27.70265059037641,224.60238555612088,111.21653030979124,0.0,PGT13K  ,False,False,False,6434.0,7924.8,8282.94,1602469949.3639998,1602469949.804,9140.0,LVL,4
913,0 days 02:32:30.000000000,4bb859,41.173187255859375,27.72662353515625,224.60238555612088,111.21653030979124,0.0,PGT13K  ,False,False,False,6434.0,7924.8,8282.94,1602469958.971,1602469959.627,9150.0,LVL,4
914,0 days 02:32:40.000000000,4bb859,41.16660942465572,27.74921764026989,223.9368291099857,111.14146169062487,-0.6502399999999999,PGT13K  ,False,False,False,6434.0,7924.8,8282.94,1602469967.931,1602469969.895,9160.0,LVL,4
915,0 days 02:32:50.000000000,4bb859,41.16139557402013,27.76700800115412,222.87777935662362,112.24345987984465,-4.8768,PGT13K  ,False,False,False,6434.0,7917.18,8275.32,1602469975.1360002,1602469978.85,9170.0,LVL,4
916,0 days 02:33:00.000000000,4bb859,41.14892578125,27.80218505859375,219.65734707275882,118.84606715089916,-7.477760000000001,PGT13K  ,False,False,False,6434.0,7833.360000000002,8199.12,1602469989.928,1602469989.928,9180.0,DE,3
917,0 days 02:33:10.000000000,4bb859,41.1383056640625,27.82387473366477,216.62674255012686,124.74678684214079,-10.07872,PGT13K  ,False,False,False,6434.0,7749.54,8122.920000000001,1602469999.984,1602469999.984,9190.0,DE,3
